store_id,item_id,holding_cost
CA,HOBBIES_1_120,2.745
CA,HOBBIES_1_121,0.25
CA,HOBBIES_1_122,0.442
CA,HOBBIES_1_123,1.948
CA,HOBBIES_1_124,1.495
CA,HOBBIES_1_125,2.995
CA,HOBBIES_1_126,2.395
CA,HOBBIES_1_127,0.25
CA,HOBBIES_1_128,2.042
CA,HOBBIES_1_129,1.12
CA,HOBBIES_1_130,0.66
CA,HOBBIES_1_131,0.175
CA,HOBBIES_1_132,1.055
CA,HOBBIES_1_133,3.06
CA,HOBBIES_1_134,0.792
CA,HOBBIES_1_135,5.095
CA,HOBBIES_1_136,1.22
CA,HOBBIES_1_137,2.495
CA,HOBBIES_1_138,1.47
CA,HOBBIES_1_139,0.658
CA,HOBBIES_1_140,0.25
CA,HOBBIES_1_141,3.565
CA,HOBBIES_1_142,0.235
CA,HOBBIES_1_143,1.995
CA,HOBBIES_1_144,2.5
CA,HOBBIES_1_145,0.305
CA,HOBBIES_1_146,1.165
CA,HOBBIES_1_147,2.492
CA,HOBBIES_1_148,1.22
CA,HOBBIES_1_149,0.355
CA,HOBBIES_1_150,0.39
CA,HOBBIES_1_151,1.105
CA,HOBBIES_1_152,1.375
CA,HOBBIES_1_153,1.34
CA,HOBBIES_1_154,0.625
CA,HOBBIES_1_155,4.745
CA,HOBBIES_1_156,0.47
CA,HOBBIES_1_157,2.75
CA,HOBBIES_1_158,4.995
CA,HOBBIES_1_159,0.81
CA,HOBBIES_1_160,4.97
CA,HOBBIES_1_161,0.17
CA,HOBBIES_1_162,0.995
CA,HOBBIES_1_163,2.355
CA,HOBBIES_1_164,2.24
CA,HOBBIES_1_165,1.242
CA,HOBBIES_1_166,2.995
CA,HOBBIES_1_167,0.175
CA,HOBBIES_1_168,1.208
CA,HOBBIES_1_169,0.118
CA,HOBBIES_1_170,4.492
CA,HOBBIES_1_171,0.72
CA,HOBBIES_1_172,0.742
CA,HOBBIES_1_173,2.742
CA,HOBBIES_1_174,1.22
CA,HOBBIES_1_175,0.5
CA,HOBBIES_1_176,1.37
CA,HOBBIES_1_177,0.995
CA,HOBBIES_1_178,0.115
CA,HOBBIES_1_179,1.718
CA,HOBBIES_1_180,4.995
CA,HOBBIES_1_181,0.492
CA,HOBBIES_1_183,1.948
CA,HOBBIES_1_184,2.92
CA,HOBBIES_1_185,0.83
CA,HOBBIES_1_186,4.37
CA,HOBBIES_1_187,1.71
CA,HOBBIES_1_188,3.22
CA,HOBBIES_1_189,0.115
CA,HOBBIES_1_190,2.492
CA,HOBBIES_1_191,2.242
CA,HOBBIES_1_192,0.81
CA,HOBBIES_1_193,1.995
CA,HOBBIES_1_194,0.625
CA,HOBBIES_1_195,2.87
CA,HOBBIES_1_197,3.118
CA,HOBBIES_1_198,2.095
CA,HOBBIES_1_199,0.855
CA,HOBBIES_1_200,1.868
CA,HOBBIES_1_201,1.245
CA,HOBBIES_1_202,0.39
CA,HOBBIES_1_203,3.37
CA,HOBBIES_1_204,2.495
CA,HOBBIES_1_205,1.47
CA,HOBBIES_1_206,0.785
CA,HOBBIES_1_207,0.632
CA,HOBBIES_1_208,0.81
CA,HOBBIES_1_209,0.175
CA,HOBBIES_1_210,1.47
CA,HOBBIES_1_211,1.245
CA,HOBBIES_1_212,1.875
CA,HOBBIES_1_213,2.155
CA,HOBBIES_1_214,2.25
CA,HOBBIES_1_215,2.742
CA,HOBBIES_1_216,0.39
CA,HOBBIES_1_217,0.868
CA,HOBBIES_1_218,2.745
CA,HOBBIES_1_219,0.435
CA,HOBBIES_1_220,0.89
CA,HOBBIES_1_221,0.5
CA,HOBBIES_1_223,0.25
CA,HOBBIES_1_224,0.992
CA,HOBBIES_1_225,7.492
CA,HOBBIES_1_226,3.565
CA,HOBBIES_1_227,0.482
CA,HOBBIES_1_228,1.718
CA,HOBBIES_1_229,1.618
CA,HOBBIES_1_230,1.12
CA,HOBBIES_1_231,1.718
CA,HOBBIES_1_232,0.115
CA,HOBBIES_1_233,0.175
CA,HOBBIES_1_234,0.075
CA,HOBBIES_1_235,3.242
CA,HOBBIES_1_236,2.942
CA,HOBBIES_1_237,1.992
CA,HOBBIES_1_238,1.485
CA,HOBBIES_1_239,0.742
CA,HOBBIES_1_240,0.62
CA,HOBBIES_1_241,5.445
CA,HOBBIES_1_242,0.625
CA,HOBBIES_1_243,3.47
CA,HOBBIES_1_244,0.115
CA,HOBBIES_1_245,1.242
CA,HOBBIES_1_246,2.745
CA,HOBBIES_1_247,4.22
CA,HOBBIES_1_248,0.235
CA,HOBBIES_1_249,1.242
CA,HOBBIES_1_250,1.22
CA,HOBBIES_1_251,3.958
CA,HOBBIES_1_252,0.175
CA,HOBBIES_1_253,3.195
CA,HOBBIES_1_254,0.175
CA,HOBBIES_1_255,0.47
CA,HOBBIES_1_256,0.115
CA,HOBBIES_1_257,4.19
CA,HOBBIES_1_258,2.742
CA,HOBBIES_1_259,0.33
CA,HOBBIES_1_260,3.06
CA,HOBBIES_1_261,0.115
CA,HOBBIES_1_262,2.245
CA,HOBBIES_1_263,1.242
CA,HOBBIES_1_264,1.118
CA,HOBBIES_1_265,0.992
CA,HOBBIES_1_266,1.165
CA,HOBBIES_1_267,0.72
CA,HOBBIES_1_268,0.115
CA,HOBBIES_1_269,2.995
CA,HOBBIES_1_270,1.12
CA,HOBBIES_1_271,1.442
CA,HOBBIES_1_272,2.11
CA,HOBBIES_1_273,2.668
CA,HOBBIES_1_274,2.47
CA,HOBBIES_1_275,3.11
CA,HOBBIES_1_276,1.668
CA,HOBBIES_1_277,0.39
CA,HOBBIES_1_278,0.118
CA,HOBBIES_1_279,0.995
CA,HOBBIES_1_280,2.742
CA,HOBBIES_1_281,0.995
CA,HOBBIES_1_282,1.055
CA,HOBBIES_1_283,2.745
CA,HOBBIES_1_284,1.22
CA,HOBBIES_1_285,2.72
CA,HOBBIES_1_286,0.175
CA,HOBBIES_1_287,1.47
CA,HOBBIES_1_288,0.118
CA,HOBBIES_1_289,1.242
CA,HOBBIES_1_290,1.34
CA,HOBBIES_1_292,1.645
CA,HOBBIES_1_293,0.82
CA,HOBBIES_1_294,0.97
CA,HOBBIES_1_295,0.115
CA,HOBBIES_1_296,1.592
CA,HOBBIES_1_297,3.25
CA,HOBBIES_1_298,0.918
CA,HOBBIES_1_299,0.318
CA,HOBBIES_1_300,2.495
CA,HOBBIES_1_301,1.405
CA,HOBBIES_1_302,0.72
CA,HOBBIES_1_303,2.245
CA,HOBBIES_1_304,0.915
CA,HOBBIES_1_305,0.718
CA,HOBBIES_1_306,3.495
CA,HOBBIES_1_307,0.992
CA,HOBBIES_1_308,2.995
CA,HOBBIES_1_309,1.205
CA,HOBBIES_1_310,1.375
CA,HOBBIES_1_311,3.665
CA,HOBBIES_1_312,0.118
CA,HOBBIES_1_313,0.308
CA,HOBBIES_1_314,0.992
CA,HOBBIES_1_315,0.892
CA,HOBBIES_1_316,0.235
CA,HOBBIES_1_317,1.668
CA,HOBBIES_1_318,1.07
CA,HOBBIES_1_319,0.25
CA,HOBBIES_1_320,1.12
CA,HOBBIES_1_321,1.61
CA,HOBBIES_1_322,0.992
CA,HOBBIES_1_323,1.218
CA,HOBBIES_1_324,3.25
CA,HOBBIES_1_325,1.61
CA,HOBBIES_1_326,0.495
CA,HOBBIES_1_327,1.985
CA,HOBBIES_1_328,1.375
CA,HOBBIES_1_329,0.99
CA,HOBBIES_1_330,1.86
CA,HOBBIES_1_331,0.235
CA,HOBBIES_1_332,1.87
CA,HOBBIES_1_333,1.242
CA,HOBBIES_1_334,1.495
CA,HOBBIES_1_335,3.06
CA,HOBBIES_1_336,0.47
CA,HOBBIES_1_337,0.918
CA,HOBBIES_1_338,1.86
CA,HOBBIES_1_339,1.995
CA,HOBBIES_1_340,1.948
CA,HOBBIES_1_341,0.115
CA,HOBBIES_1_342,4.97
CA,HOBBIES_1_343,1.195
CA,HOBBIES_1_344,2.945
CA,HOBBIES_1_345,1.86
CA,HOBBIES_1_346,0.992
CA,HOBBIES_1_347,2.47
CA,HOBBIES_1_348,0.115
CA,HOBBIES_1_349,2.995
CA,HOBBIES_1_350,0.692
CA,HOBBIES_1_351,1.395
CA,HOBBIES_1_352,0.658
CA,HOBBIES_1_353,0.245
CA,HOBBIES_1_354,5.995
CA,HOBBIES_1_355,0.918
CA,HOBBIES_1_356,1.245
CA,HOBBIES_1_357,3.355
CA,HOBBIES_1_358,0.658
CA,HOBBIES_1_359,0.368
CA,HOBBIES_1_360,3.43
CA,HOBBIES_1_361,7.492
CA,HOBBIES_1_362,2.495
CA,HOBBIES_1_363,0.69
CA,HOBBIES_1_364,2.992
CA,HOBBIES_1_365,0.992
CA,HOBBIES_1_366,0.992
CA,HOBBIES_1_367,2.155
CA,HOBBIES_1_368,1.055
CA,HOBBIES_1_369,0.245
CA,HOBBIES_1_370,0.115
CA,HOBBIES_1_371,0.115
CA,HOBBIES_1_372,1.61
CA,HOBBIES_1_373,3.68
CA,HOBBIES_1_374,4.37
CA,HOBBIES_1_375,2.47
CA,HOBBIES_1_376,3.992
CA,HOBBIES_1_377,2.092
CA,HOBBIES_1_378,0.81
CA,HOBBIES_1_379,0.53
CA,HOBBIES_1_380,0.39
CA,HOBBIES_1_381,0.175
CA,HOBBIES_1_382,0.492
CA,HOBBIES_1_383,0.745
CA,HOBBIES_1_384,2.995
CA,HOBBIES_1_385,2.492
CA,HOBBIES_1_386,1.42
CA,HOBBIES_1_387,0.245
CA,HOBBIES_1_388,0.745
CA,HOBBIES_1_389,2.992
CA,HOBBIES_1_390,2.845
CA,HOBBIES_1_391,0.97
CA,HOBBIES_1_392,3.245
CA,HOBBIES_1_393,6.992
CA,HOBBIES_1_394,1.945
CA,HOBBIES_1_395,1.87
CA,HOBBIES_1_396,0.47
CA,HOBBIES_1_397,1.055
CA,HOBBIES_1_398,0.118
CA,HOBBIES_1_399,0.485
CA,HOBBIES_1_400,0.245
CA,HOBBIES_1_401,0.492
CA,HOBBIES_1_402,2.335
CA,HOBBIES_1_403,2.87
CA,HOBBIES_1_404,0.125
CA,HOBBIES_1_405,2.668
CA,HOBBIES_1_406,0.97
CA,HOBBIES_1_407,0.625
CA,HOBBIES_1_408,0.142
CA,HOBBIES_1_409,1.245
CA,HOBBIES_1_410,6.992
CA,HOBBIES_1_411,0.25
CA,HOBBIES_1_412,0.495
CA,HOBBIES_1_413,1.165
CA,HOBBIES_1_414,1.718
CA,HOBBIES_1_415,1.61
CA,HOBBIES_1_416,1.242
CA,HOBBIES_1_417,0.118
CA,HOBBIES_1_418,0.935
CA,HOBBIES_1_419,1.495
CA,HOBBIES_1_420,1.358
CA,HOBBIES_1_421,1.98
CA,HOBBIES_1_422,0.718
CA,HOBBIES_1_423,1.82
CA,HOBBIES_1_424,0.39
CA,HOBBIES_2_001,1.368
CA,HOBBIES_2_002,0.492
CA,HOBBIES_2_003,0.492
CA,HOBBIES_2_004,0.618
CA,HOBBIES_2_005,1.118
CA,HOBBIES_2_006,0.868
CA,HOBBIES_2_007,0.242
CA,HOBBIES_2_008,0.868
CA,HOBBIES_2_009,0.992
CA,HOBBIES_2_010,0.242
CA,HOBBIES_2_011,0.242
CA,HOBBIES_2_012,0.492
CA,HOBBIES_2_013,1.742
CA,HOBBIES_2_014,0.242
CA,HOBBIES_2_015,0.868
CA,HOBBIES_2_016,1.242
CA,HOBBIES_2_017,0.132
CA,HOBBIES_2_018,0.842
CA,HOBBIES_2_019,0.842
CA,HOBBIES_2_020,0.868
CA,HOBBIES_2_021,0.242
CA,HOBBIES_2_022,1.242
CA,HOBBIES_2_023,0.242
CA,HOBBIES_2_024,1.192
CA,HOBBIES_2_025,0.125
CA,HOBBIES_2_026,0.058
CA,HOBBIES_2_027,0.618
CA,HOBBIES_2_028,0.192
CA,HOBBIES_2_029,0.62
CA,HOBBIES_2_030,0.218
CA,HOBBIES_2_031,1.742
CA,HOBBIES_2_032,0.25
CA,HOBBIES_2_033,0.645
CA,HOBBIES_2_034,0.618
CA,HOBBIES_2_035,1.118
CA,HOBBIES_2_036,0.242
CA,HOBBIES_2_037,0.218
CA,HOBBIES_2_038,0.242
CA,HOBBIES_2_039,1.242
CA,HOBBIES_2_040,0.22
CA,HOBBIES_2_041,0.492
CA,HOBBIES_2_042,0.368
CA,HOBBIES_2_043,0.242
CA,HOBBIES_2_044,1.118
CA,HOBBIES_2_045,0.742
CA,HOBBIES_2_046,0.618
CA,HOBBIES_2_047,0.142
CA,HOBBIES_2_048,0.62
CA,HOBBIES_2_049,0.618
CA,HOBBIES_2_050,0.492
CA,HOBBIES_2_051,0.368
CA,HOBBIES_2_052,0.618
CA,HOBBIES_2_053,1.118
CA,HOBBIES_2_054,1.242
CA,HOBBIES_2_055,0.618
CA,HOBBIES_2_056,0.875
CA,HOBBIES_2_057,0.492
CA,HOBBIES_2_058,0.125
CA,HOBBIES_2_059,0.062
CA,HOBBIES_2_060,0.242
CA,HOBBIES_2_061,0.492
CA,HOBBIES_2_062,1.242
CA,HOBBIES_2_063,0.218
CA,HOBBIES_2_064,0.242
CA,HOBBIES_2_065,0.125
CA,HOBBIES_2_066,1.242
CA,HOBBIES_2_067,0.742
CA,HOBBIES_2_068,0.492
CA,HOBBIES_2_069,0.742
CA,HOBBIES_2_070,2.492
CA,HOBBIES_2_071,0.242
CA,HOBBIES_2_072,1.492
CA,HOBBIES_2_073,0.132
CA,HOBBIES_2_074,0.992
CA,HOBBIES_2_075,0.62
CA,HOBBIES_2_076,0.645
CA,HOBBIES_2_077,2.492
CA,HOBBIES_2_078,1.242
CA,HOBBIES_2_079,0.492
CA,HOBBIES_2_080,1.0
CA,HOBBIES_2_081,0.618
CA,HOBBIES_2_082,0.22
CA,HOBBIES_2_083,0.62
CA,HOBBIES_2_084,1.742
CA,HOBBIES_2_085,0.242
CA,HOBBIES_2_086,0.242
CA,HOBBIES_2_087,0.242
CA,HOBBIES_2_088,0.668
CA,HOBBIES_2_089,0.742
CA,HOBBIES_2_090,0.392
CA,HOBBIES_2_091,0.242
CA,HOBBIES_2_092,1.242
CA,HOBBIES_2_093,0.492
CA,HOBBIES_2_094,0.618
CA,HOBBIES_2_095,0.22
CA,HOBBIES_2_096,0.618
CA,HOBBIES_2_097,0.492
CA,HOBBIES_2_098,0.192
CA,HOBBIES_2_099,0.242
CA,HOBBIES_2_100,0.192
CA,HOBBIES_2_101,0.132
CA,HOBBIES_2_102,1.492
CA,HOBBIES_2_103,0.618
CA,HOBBIES_2_104,0.742
CA,HOBBIES_2_105,0.618
CA,HOBBIES_2_106,0.242
CA,HOBBIES_2_107,0.132
CA,HOBBIES_2_108,0.742
CA,HOBBIES_2_109,0.242
CA,HOBBIES_2_110,1.492
CA,HOBBIES_2_111,0.992
CA,HOBBIES_2_112,0.492
CA,HOBBIES_2_113,1.242
CA,HOBBIES_2_114,0.618
CA,HOBBIES_2_115,0.742
CA,HOBBIES_2_116,0.742
CA,HOBBIES_2_117,0.62
CA,HOBBIES_2_118,0.992
CA,HOBBIES_2_119,0.868
CA,HOBBIES_2_120,0.618
CA,HOBBIES_2_121,0.242
CA,HOBBIES_2_122,0.192
CA,HOBBIES_2_123,0.132
CA,HOBBIES_2_124,0.058
CA,HOBBIES_2_125,0.218
CA,HOBBIES_2_126,0.125
CA,HOBBIES_2_127,0.992
CA,HOBBIES_2_128,0.992
CA,HOBBIES_2_129,0.062
CA,HOBBIES_2_130,1.742
CA,HOBBIES_2_131,1.492
CA,HOBBIES_2_132,0.72
CA,HOBBIES_2_133,0.62
CA,HOBBIES_2_134,1.742
CA,HOBBIES_2_135,0.132
CA,HOBBIES_2_136,0.62
CA,HOBBIES_2_137,0.742
CA,HOBBIES_2_138,0.242
CA,HOBBIES_2_139,1.242
CA,HOBBIES_2_140,0.692
CA,HOBBIES_2_141,0.132
CA,HOBBIES_2_142,0.062
CA,HOBBIES_2_143,0.318
CA,HOBBIES_2_144,0.142
CA,HOBBIES_2_145,0.62
CA,HOBBIES_2_146,0.492
CA,HOBBIES_2_147,0.242
CA,HOBBIES_2_148,0.192
CA,HOBBIES_2_149,0.618
CA,HOUSEHOLD_1_001,1.264
CA,HOUSEHOLD_1_002,1.264
CA,HOUSEHOLD_1_003,1.794
CA,HOUSEHOLD_1_004,0.396
CA,HOUSEHOLD_1_005,2.144
CA,HOUSEHOLD_1_006,1.394
CA,HOUSEHOLD_1_007,0.308
CA,HOUSEHOLD_1_008,0.996
CA,HOUSEHOLD_1_009,3.594
CA,HOUSEHOLD_1_010,0.574
CA,HOUSEHOLD_1_011,0.926
CA,HOUSEHOLD_1_012,0.672
CA,HOUSEHOLD_1_013,0.994
CA,HOUSEHOLD_1_014,3.594
CA,HOUSEHOLD_1_015,0.948
CA,HOUSEHOLD_1_016,0.976
CA,HOUSEHOLD_1_017,0.994
CA,HOUSEHOLD_1_018,2.094
CA,HOUSEHOLD_1_019,0.196
CA,HOUSEHOLD_1_020,1.394
CA,HOUSEHOLD_1_021,0.396
CA,HOUSEHOLD_1_022,0.968
CA,HOUSEHOLD_1_023,1.794
CA,HOUSEHOLD_1_024,0.294
CA,HOUSEHOLD_1_025,0.596
CA,HOUSEHOLD_1_026,0.574
CA,HOUSEHOLD_1_027,1.048
CA,HOUSEHOLD_1_028,0.532
CA,HOUSEHOLD_1_029,1.196
CA,HOUSEHOLD_1_030,0.994
CA,HOUSEHOLD_1_032,2.172
CA,HOUSEHOLD_1_033,0.784
CA,HOUSEHOLD_1_034,0.788
CA,HOUSEHOLD_1_035,0.926
CA,HOUSEHOLD_1_036,0.596
CA,HOUSEHOLD_1_037,0.794
CA,HOUSEHOLD_1_038,0.992
CA,HOUSEHOLD_1_039,0.532
CA,HOUSEHOLD_1_040,0.794
CA,HOUSEHOLD_1_042,2.094
CA,HOUSEHOLD_1_043,0.594
CA,HOUSEHOLD_1_044,3.594
CA,HOUSEHOLD_1_045,0.494
CA,HOUSEHOLD_1_046,0.756
CA,HOUSEHOLD_1_047,0.794
CA,HOUSEHOLD_1_048,0.568
CA,HOUSEHOLD_1_049,1.194
CA,HOUSEHOLD_1_050,0.7
CA,HOUSEHOLD_1_051,0.592
CA,HOUSEHOLD_1_052,0.794
CA,HOUSEHOLD_1_053,2.994
CA,HOUSEHOLD_1_054,0.784
CA,HOUSEHOLD_1_055,0.772
CA,HOUSEHOLD_1_056,2.394
CA,HOUSEHOLD_1_057,0.332
CA,HOUSEHOLD_1_058,1.296
CA,HOUSEHOLD_1_059,0.594
CA,HOUSEHOLD_1_060,5.994
CA,HOUSEHOLD_1_061,0.376
CA,HOUSEHOLD_1_062,0.996
CA,HOUSEHOLD_1_063,2.094
CA,HOUSEHOLD_1_064,1.156
CA,HOUSEHOLD_1_065,0.196
CA,HOUSEHOLD_1_066,0.614
CA,HOUSEHOLD_1_067,0.836
CA,HOUSEHOLD_1_068,1.394
CA,HOUSEHOLD_1_069,0.394
CA,HOUSEHOLD_1_070,0.674
CA,HOUSEHOLD_1_071,0.396
CA,HOUSEHOLD_1_072,1.696
CA,HOUSEHOLD_1_073,1.596
CA,HOUSEHOLD_1_074,1.288
CA,HOUSEHOLD_1_075,0.546
CA,HOUSEHOLD_1_076,0.996
CA,HOUSEHOLD_1_077,1.396
CA,HOUSEHOLD_1_078,0.568
CA,HOUSEHOLD_1_079,0.976
CA,HOUSEHOLD_1_080,1.994
CA,HOUSEHOLD_1_081,1.694
CA,HOUSEHOLD_1_082,0.696
CA,HOUSEHOLD_1_083,0.196
CA,HOUSEHOLD_1_085,3.156
CA,HOUSEHOLD_1_086,0.924
CA,HOUSEHOLD_1_087,0.674
CA,HOUSEHOLD_1_088,1.194
CA,HOUSEHOLD_1_089,0.948
CA,HOUSEHOLD_1_090,0.592
CA,HOUSEHOLD_1_091,1.354
CA,HOUSEHOLD_1_092,0.332
CA,HOUSEHOLD_1_093,0.796
CA,HOUSEHOLD_1_094,0.634
CA,HOUSEHOLD_1_095,1.264
CA,HOUSEHOLD_1_096,0.7
CA,HOUSEHOLD_1_097,0.794
CA,HOUSEHOLD_1_098,1.596
CA,HOUSEHOLD_1_099,0.464
CA,HOUSEHOLD_1_100,1.666
CA,HOUSEHOLD_1_101,0.464
CA,HOUSEHOLD_1_102,3.594
CA,HOUSEHOLD_1_103,0.994
CA,HOUSEHOLD_1_104,0.594
CA,HOUSEHOLD_1_105,0.784
CA,HOUSEHOLD_1_106,1.794
CA,HOUSEHOLD_1_107,0.696
CA,HOUSEHOLD_1_108,0.948
CA,HOUSEHOLD_1_109,0.652
CA,HOUSEHOLD_1_110,0.7
CA,HOUSEHOLD_1_112,0.594
CA,HOUSEHOLD_1_113,1.294
CA,HOUSEHOLD_1_114,0.194
CA,HOUSEHOLD_1_115,0.994
CA,HOUSEHOLD_1_116,0.594
CA,HOUSEHOLD_1_117,1.794
CA,HOUSEHOLD_1_118,0.194
CA,HOUSEHOLD_1_119,0.572
CA,HOUSEHOLD_1_120,0.894
CA,HOUSEHOLD_1_121,0.496
CA,HOUSEHOLD_1_122,0.452
CA,HOUSEHOLD_1_123,1.794
CA,HOUSEHOLD_1_124,0.796
CA,HOUSEHOLD_1_125,1.144
CA,HOUSEHOLD_1_126,1.594
CA,HOUSEHOLD_1_127,1.596
CA,HOUSEHOLD_1_128,0.514
CA,HOUSEHOLD_1_129,0.756
CA,HOUSEHOLD_1_130,1.396
CA,HOUSEHOLD_1_131,0.988
CA,HOUSEHOLD_1_132,0.376
CA,HOUSEHOLD_1_133,0.624
CA,HOUSEHOLD_1_134,0.794
CA,HOUSEHOLD_1_135,0.304
CA,HOUSEHOLD_1_136,0.794
CA,HOUSEHOLD_1_137,2.596
CA,HOUSEHOLD_1_138,0.994
CA,HOUSEHOLD_1_139,0.996
CA,HOUSEHOLD_1_140,3.0
CA,HOUSEHOLD_1_141,0.356
CA,HOUSEHOLD_1_142,1.194
CA,HOUSEHOLD_1_143,0.394
CA,HOUSEHOLD_1_144,0.594
CA,HOUSEHOLD_1_145,0.396
CA,HOUSEHOLD_1_146,1.178
CA,HOUSEHOLD_1_147,0.254
CA,HOUSEHOLD_1_148,1.176
CA,HOUSEHOLD_1_149,0.194
CA,HOUSEHOLD_1_150,2.372
CA,HOUSEHOLD_1_151,0.176
CA,HOUSEHOLD_1_152,1.996
CA,HOUSEHOLD_1_153,0.394
CA,HOUSEHOLD_1_154,0.656
CA,HOUSEHOLD_1_155,0.694
CA,HOUSEHOLD_1_156,0.546
CA,HOUSEHOLD_1_157,0.848
CA,HOUSEHOLD_1_158,0.648
CA,HOUSEHOLD_1_159,1.586
CA,HOUSEHOLD_1_160,2.094
CA,HOUSEHOLD_1_161,2.576
CA,HOUSEHOLD_1_162,1.048
CA,HOUSEHOLD_1_163,1.996
CA,HOUSEHOLD_1_164,0.574
CA,HOUSEHOLD_1_165,3.594
CA,HOUSEHOLD_1_166,0.994
CA,HOUSEHOLD_1_167,0.596
CA,HOUSEHOLD_1_168,0.594
CA,HOUSEHOLD_1_169,0.596
CA,HOUSEHOLD_1_170,0.392
CA,HOUSEHOLD_1_171,1.794
CA,HOUSEHOLD_1_172,0.424
CA,HOUSEHOLD_1_173,0.194
CA,HOUSEHOLD_1_174,0.974
CA,HOUSEHOLD_1_175,0.976
CA,HOUSEHOLD_1_176,0.756
CA,HOUSEHOLD_1_177,1.594
CA,HOUSEHOLD_1_178,0.854
CA,HOUSEHOLD_1_179,0.188
CA,HOUSEHOLD_1_180,0.5
CA,HOUSEHOLD_1_181,0.784
CA,HOUSEHOLD_1_182,0.894
CA,HOUSEHOLD_1_183,0.976
CA,HOUSEHOLD_1_184,2.394
CA,HOUSEHOLD_1_185,0.574
